"LANGUAGE","日本語"
"RON_NAM","RON: the network replacer"
"RON_DESC","ネットワークを置き換えるためのツール"
"RON_PNL_MAP","マップ上にあるネットワーク"
"RON_PNL_AVA","置換可能なネットワーク"
"RON_PNL_NET","ネットワーク名"
"RON_PNL_CRE","作成者"
"RON_PNL_REP","全て置換"
"RON_PNL_RES","置換"
"RON_PNL_DEL","全て削除"
"RON_PNL_DES","削除"
"RON_PNL_UND","元に戻す"
"RON_PNL_VPS","前のセグメントを表示"
"RON_PNL_VNS","次のセグメントを表示"
"RON_PNL_GLB","マップ上の全てを置換"
"RON_PNL_DIS","地区内のみで置換"
"RON_PNL_SEG","個々のセグメントで置換"
"RON_PNL_HDV","バニラとNExtは非表示"
"RON_PNL_WID","同じ幅のみ表示"
"RON_PNL_ADV","全てのネットワークを表示(Advanced Mode)"
"RON_PNL_TYP","ネットワークの種類"
"RON_PNL_ROA","道路 - 地上のみ"
"RON_PNL_ROB","道路 - 高架と橋"
"RON_PNL_ROT","道路 - トンネル"
"RON_PNL_RAI","線路 - 地上のみ"
"RON_PNL_RAB","線路 - 高架と橋"
"RON_PNL_RAT","線路 - トンネル"
"RON_PNL_MTI","地下鉄 - 地上のみ"
"RON_PNL_MTB","地下鉄 - 高架と橋"
"RON_PNL_MTT","地下鉄 - トンネル"
"RON_PNL_MOI","モノレール"
"RON_PNL_PED","歩道 - 地上のみ"
"RON_PNL_PEB","歩道 - 高架と橋"
"RON_PNL_PET","歩道 - トンネル"
"RON_PNL_PEA","歩道 - キャンパスとパークエリア"
"RON_PNL_DEC","デコレーション"
"RON_PNL_ELI","送電線"
"RON_PNL_QUA","護岸・岸壁"
"RON_PNL_CAN","水路・運河"
"RON_PNL_PIP","水道管"
"RON_PNL_RUN","空港エリアの滑走路"
"RON_PNL_TAX","空港エリアの誘導路"
"RON_PNL_CON","空港のコンコース"
"RON_PNL_RIP","置換中"
"RON_STA_CUS","軌道のカスタマイズ"
"RON_STA_RAO","鉄道の線路用"
"RON_STA_MTO","メトロの軌道用"
"RON_STA_RAM","鉄道とメトロ"
"RON_TIP_VAN","このネットワークは、バニラ(ベースゲーム部分)のネットワークです"
"RON_TIP_NEX","このネットワークは、Network Extensions 2(NExt2)のネットワークです"
"RON_TIP_MOD","このネットワークは、アセット・MODのネットワークです"
"RON_TIP_STA","これはステーショントラックで、駅の構内で使用すべきトラックです"
"RON_TIP_ELE","高架のネットワーク"
"RON_TIP_BRI","橋のネットワーク"
"RON_TIP_TUN","地下のネットワーク"
"RON_FIL_NAME","検索:"
"RON_OPT_RRP","鉄道用の建物を設置する際に、線路の置換先候補を表示します"
"RON_OPT_ADV","Advanced Modeを有効化"
"RON_OPT_ADV2","(異なるタイプのネットワークに置換が可能)"
"RON_OPT_NEX","ロード時に欠落した、Network Extension 2の道路を自動的に置換"
"RON_OPT_NEX2","(置換先で使用する、ネットワークのコレクションを必ずサブスクライブしてください)"
"RON_OPT_NAR","ロード時に欠落した、North American Rails (NAR) の軌道を次のタイプへ置換:"
"RON_OPT_NAR2","(関連する置換先のアセットやMODのサブスクライブが必要です)"
"RON_OPT_MOM","ロード時に欠落した、Metro Overhaul Mod (MOM) の軌道を次のタイプへ置換:"
"RON_OPT_NAR_R2","Railway 2 USA"
"RON_OPT_NAR_BP","Vanilla/BloodyPenguin/BadPeanut"
"RON_WAR_DES","このネットワークセグメントを削除しますか？"
"RON_WAR_DEL","これらのネットワークセグメントを全て削除しますか？"
"RON_WAR_UND","警告: この操作は元に戻せません！！"
"TRN_CHOICE","言語設定"
"LANGUAGE_GAME","ゲームの言語を使用"
"KEY_KEY","ホットキー"
"PRESS_ANY_KEY","何かキーを押してください"
"ERR_NXT","RONはマップ上から、次のネットワークを置換できません (アセットが無効化・未サブスクライブのため):"
"NOTE_CLOSE","閉じる"
"MES_PAGE","詳細は、MODがあるSteamのワークショップを確認してください。"
"NO","いいえ"
"YES","はい"
