"LANGUAGE","Русский"
"RON_NAM","RON: заменитель сетевых объектов"
"RON_DESC","инструмент для замены дорог."
"RON_PNL_MAP","Дороги на карте"
"RON_PNL_AVA","Доступные замены"
"RON_PNL_NET","Дорога"
"RON_PNL_CRE","Автор"
"RON_PNL_REP","ЗАМЕНИТЬ"
"RON_PNL_RES","Заменить"
"RON_PNL_DEL","УДАЛИТЬ ВСЕ"
"RON_PNL_DES","УДАЛИТЬ"
"RON_PNL_UND","Отменить"
"RON_PNL_VPS","Предыдущий сегмент"
"RON_PNL_VNS","Следующий сегмент "
"RON_PNL_GLB","Заменить все"
"RON_PNL_DIS","Заменить только в текущем районе"
"RON_PNL_SEG","Заменить индивидуальный отрезок"
"RON_PNL_HDV","Скрыть ванильные и из NExt"
"RON_PNL_WID","Только с одинаковой шириной"
"RON_PNL_ADV","Показать все типы путей (РАСШИРЕННЫЙ)"
"RON_PNL_TYP","Тип дороги"
"RON_PNL_ROA","Дороги - только наземные"
"RON_PNL_ROB","Дороги - эстакады и мосты"
"RON_PNL_ROT","Дороги - туннели"
"RON_PNL_PZA","Дороги пешеходной зоны - только наземные"
"RON_PNL_PZB","Дороги пешеходной зоны - эстакады и мосты"
"RON_PNL_RAI","Ж/д - только наземные"
"RON_PNL_RAB","Ж/д - эстакады и мосты"
"RON_PNL_RAT","Ж/д - туннели"
"RON_PNL_MTI","Метро - только наземные"
"RON_PNL_MTB","Метро - эстакады и мосты"
"RON_PNL_MTT","Метро - туннели"
"RON_PNL_MOI","Монорельс"
"RON_PNL_PED","Пешеходные - только наземные"
"RON_PNL_PEB","Пешеходные - эстакады и мосты"
"RON_PNL_PET","Пешеходные - туннели"
"RON_PNL_PEA","Пешеходные - кампусы и парковые"
"RON_PNL_DEC","Декорации"
"RON_PNL_ELI","Линии электропередачи"
"RON_PNL_QUA","Набережные"
"RON_PNL_CAN","Каналы"
"RON_PNL_PIP","Трубопроводы"
"RON_PNL_RUN","Взлетные полосы"
"RON_PNL_TAX","Рулежные дорожки"
"RON_PNL_CON","Терминалы аэропорта"
"RON_PNL_RIP","Выполняется замена"
"RON_STA_CUS","Настроить пути"
"RON_STA_RAO","Только жд рельсы"
"RON_STA_MTO","Только метро"
"RON_STA_RAM","Жд и метро"
"RON_TIP_VAN","Это ванильная дорога (часть базовой игры)."
"RON_TIP_NEX","Эта дорога из Network Extensions 2 (NExt2)."
"RON_TIP_MOD","Эта дорога из мода."
"RON_TIP_STA","Это трек станции, и его следует использовать только как часть станции."
"RON_TIP_ELE","Эстакады"
"RON_TIP_BRI","Мосты"
"RON_TIP_TUN","Туннели"
"RON_FIL_NAME","Поиск:"
"RON_OPT_RRP","Показывать заменитель железнодорожных путей при замене железнодорожных зданий"
"RON_OPT_ADV","Включить расширенный режим"
"RON_OPT_ADV2","(позволяет заменять на другие типы network)"
"RON_OPT_NEX","Автозамена при загрузке не хватающих дорог Network Extension 2"
"RON_OPT_NEX2","(необходимо подписаться на коллекцию путей для замены)"
"RON_OPT_NAR","Автозамена отсутствующих путей North American Rails (NAR) на:"
"RON_OPT_NAR2","(должна быть подписка на соответствующие активы или моды для замены)"
"RON_OPT_MOM","Автозамена отсутствующих путей Metro Overhaul Mod (MOM) на:"
"RON_OPT_NAR_R2","Railway 2 USA"
"RON_OPT_NAR_BP","Стандартные/BloodyPenguin/BadPeanut"
"RON_WAR_DES","Вы уверены что хотите удалить этот сегмент?"
"RON_WAR_DEL","Вы уверены, что хотите удалить все эти сегменты?"
"RON_WAR_UND","Это действие НЕ МОЖЕТЬ БЫТЬ отменено!"
"TRN_CHOICE","Установить язык"
"LANGUAGE_GAME","Использ. системный"
"KEY_KEY","Горячая клавиша"
"PRESS_ANY_KEY","Нажмите любую клавишу"
"ERR_NXT","RON не смог заменить следующие пути на этой карте, поскольку необходимые замены не были доступны (отключены или не подписаны):"
"NOTE_CLOSE","Закрыть"
"MES_PAGE","Дополнительную информацию смотри на странице мода в Steam Workshop"
"NO","Нет"
