"LANGUAGE","简体中文"
"RON_NAM","RON: 道路替换器（RON:the network replacer）"
"RON_DESC","替换道路（及轨道）的工具。"
"RON_PNL_MAP","地图中的道路"
"RON_PNL_AVA","可选替换"
"RON_PNL_NET","道路"
"RON_PNL_CRE","作者"
"RON_PNL_REP","替换全部"
"RON_PNL_RES","替换"
"RON_PNL_DEL","删除所有"
"RON_PNL_DES","删除"
"RON_PNL_UND","还原"
"RON_PNL_VPS","查看上一个路段"
"RON_PNL_VNS","查看下一个路段"
"RON_PNL_GLB","替换全部"
"RON_PNL_DIS","只在同区域内替换"
"RON_PNL_SEG","替换单一路段"
"RON_PNL_HDV","隐藏全部原版和道路拓展2道路"
"RON_PNL_WID","仅限等宽"
"RON_PNL_ADV","显示所有道路类型（高级）"
"RON_PNL_TYP","道路类型"
"RON_PNL_ROA","道路 - 仅地面"
"RON_PNL_ROB","道路 - 高架和桥梁"
"RON_PNL_ROT","道路 - 隧道"
"RON_PNL_PZA","步行街区域的道路 -地面路"
"RON_PNL_PZB","步行街区域的道路 - 高架和桥"
"RON_PNL_RAI","轨道 - 仅地面"
"RON_PNL_RAB","轨道 - 高架和桥梁"
"RON_PNL_RAT","轨道 - 隧道"
"RON_PNL_MTI","地铁 - 仅地面"
"RON_PNL_MTB","地铁 - 高架和桥梁"
"RON_PNL_MTT","地铁 - 隧道"
"RON_PNL_MOI","单轨"
"RON_PNL_PED","路径 - 仅地面"
"RON_PNL_PEB","路径 - 高架和桥梁"
"RON_PNL_PET","路径 - 隧道"
"RON_PNL_PEA","路径 - 大学与公园区域"
"RON_PNL_DEC","装饰"
"RON_PNL_ELI","电线"
"RON_PNL_QUA","护堤"
"RON_PNL_CAN","运河"
"RON_PNL_PIP","管道"
"RON_PNL_RUN","机场区跑道"
"RON_PNL_TAX","机场区滑行道"
"RON_PNL_CON","候机指廊"
"RON_PNL_RIP","替换中"
"RON_STA_CUS","自定义轨道"
"RON_STA_RAO","仅限铁轨"
"RON_STA_MTO","仅限地铁"
"RON_STA_RAM","铁轨和地铁"
"RON_TIP_VAN","该路段为原版道路（游戏原版）。"
"RON_TIP_NEX","该路段为道路拓展2 (NExt2)。"
"RON_TIP_MOD","该道路为其他模组道路"
"RON_TIP_STA","这是站台轨道，只能作为车站的一部分使用。"
"RON_TIP_ELE","高架铁路"
"RON_TIP_BRI","桥梁"
"RON_TIP_TUN","隧道"
"RON_FIL_NAME","搜索："
"RON_OPT_RRP","放置铁路建筑时显示铁路替换工具"
"RON_OPT_ADV","启用高级模式"
"RON_OPT_ADV2","(启用跨类型道路替换)"
"RON_OPT_NEX","加载时自动替换Network Extension 2的道路"
"RON_OPT_NEX2","(必须订阅替换道路的合集)"
"RON_OPT_NAR","自动替换丢失的North American Rails (NAR)轨道："
"RON_OPT_NAR2","(相关的替换资产或模组必须订阅)"
"RON_OPT_MOM","加载时自动替换缺失的Metro Overhaul Mod (MOM) 轨道："
"RON_OPT_NAR_R2","美式铁路2"
"RON_OPT_NAR_BP","Vanilla/BloodyPenguin/BadPeanut"
"RON_WAR_DES","您确定要删除此路径线段吗？"
"RON_WAR_DEL","您确定要删除此路径的所有线段吗？"
"RON_WAR_UND","该操作无法撤销！"
"KEY_KEY","热键"
"ERR_NXT","RON无法在这张地图上替换道路拓展的道路，因为必需的替换包不可用(禁用或未订阅):"
"MES_PAGE","请前往该模组的创意工坊详情页查看更多信息。"
